project_id,project_title,project_description,research_domain,project_type,budget_range,duration_months,team_expertise,location,equipment_name,equipment_category,methodology_name,methodology_type,skill_required,tool_name,tool_category
PRJ_C56A5C,Deep Learning Approach to Biodiversity,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Mixed,1L-5L,3,"Electronics, Embedded Systems, ML","Bhubaneswar, Odisha",Turbidity Meter,Lab Instrument,,,,,
PRJ_C56A5C,Deep Learning Approach to Biodiversity,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Mixed,1L-5L,3,"Electronics, Embedded Systems, ML","Bhubaneswar, Odisha",Dissolved Oxygen Sensor,Sensor,,,,,
PRJ_7FA58C,Automated Biodiversity Classification System,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. Data privacy and security considerations are incorporated into the design.",Environmental Science,Experimental,5L-20L,9,"ML, Data Analysis, Electronics","Guwahati, Assam",Soil pH Meter,Field Equipment,Water Quality Index Calculation,Analytical,Embedded Systems,QGIS,Visualization
PRJ_7FA58C,Automated Biodiversity Classification System,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. Data privacy and security considerations are incorporated into the design.",Environmental Science,Experimental,5L-20L,9,"ML, Data Analysis, Electronics","Guwahati, Assam",Water Sampler,Field Equipment,Statistical Threshold Analysis,Statistical,Embedded Systems,Grafana,Visualization
PRJ_7FA58C,Automated Biodiversity Classification System,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. Data privacy and security considerations are incorporated into the design.",Environmental Science,Experimental,5L-20L,9,"ML, Data Analysis, Electronics","Guwahati, Assam",Spectrophotometer,Lab Instrument,Principal Component Analysis,Analytical,Embedded Systems,scikit-learn,Data Analysis
PRJ_7FA58C,Automated Biodiversity Classification System,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. Data privacy and security considerations are incorporated into the design.",Environmental Science,Experimental,5L-20L,9,"ML, Data Analysis, Electronics","Guwahati, Assam",Anemometer,Field Equipment,,,,Node-RED,Visualization
PRJ_7FA58C,Automated Biodiversity Classification System,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. Data privacy and security considerations are incorporated into the design.",Environmental Science,Experimental,5L-20L,9,"ML, Data Analysis, Electronics","Guwahati, Assam",Turbidity Meter,Lab Instrument,,,,,
PRJ_F11EB7,Automated River Monitoring Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,<1L,12,"Electronics, Biology, Embedded Systems","Hyderabad, Telangana",Rainfall Gauge,Field Equipment,Water Quality Index Calculation,Analytical,Embedded Systems,MQTT,Data Analysis
PRJ_F11EB7,Automated River Monitoring Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,<1L,12,"Electronics, Biology, Embedded Systems","Hyderabad, Telangana",Portable Water Quality Analyzer,Field Equipment,Remote Sensing Analysis,Analytical,Embedded Systems,Google Earth Engine,Simulation
PRJ_F11EB7,Automated River Monitoring Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,<1L,12,"Electronics, Biology, Embedded Systems","Hyderabad, Telangana",Waterproof Enclosure,Computing,,,,QGIS,Visualization
PRJ_F11EB7,Automated River Monitoring Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,<1L,12,"Electronics, Biology, Embedded Systems","Hyderabad, Telangana",Turbidity Meter,Lab Instrument,,,,,
PRJ_F11EB7,Automated River Monitoring Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,<1L,12,"Electronics, Biology, Embedded Systems","Hyderabad, Telangana",Datalogger,Field Equipment,,,,,
PRJ_F11EB7,Automated River Monitoring Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,<1L,12,"Electronics, Biology, Embedded Systems","Hyderabad, Telangana",Water Sampler,Field Equipment,,,,,
PRJ_9F85FB,Smart River Monitoring Prediction Using Air Pollution,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. The methodology includes a rigorous statistical validation framework.",Environmental Science,Mixed,<1L,12,"Biology, Data Analysis, Electronics","Bhubaneswar, Odisha",Soil pH Meter,Field Equipment,Regression Analysis,Statistical,Embedded Systems,Pandas,Data Analysis
PRJ_9F85FB,Smart River Monitoring Prediction Using Air Pollution,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. The methodology includes a rigorous statistical validation framework.",Environmental Science,Mixed,<1L,12,"Biology, Data Analysis, Electronics","Bhubaneswar, Odisha",Drone (DJI Matrice),Field Equipment,Anomaly Detection (ML),Computational,Data Analysis,MQTT,Data Analysis
PRJ_9F85FB,Smart River Monitoring Prediction Using Air Pollution,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. The methodology includes a rigorous statistical validation framework.",Environmental Science,Mixed,<1L,12,"Biology, Data Analysis, Electronics","Bhubaneswar, Odisha",Arduino Uno,Computing,Remote Sensing Analysis,Analytical,Data Analysis,Google Earth Engine,Simulation
PRJ_9F85FB,Smart River Monitoring Prediction Using Air Pollution,"A real-time IoT-based system to monitor water quality parameters such as pH, turbidity, and dissolved oxygen using low-cost sensors with anomaly detection using machine learning. The methodology includes a rigorous statistical validation framework.",Environmental Science,Mixed,<1L,12,"Biology, Data Analysis, Electronics","Bhubaneswar, Odisha",Temperature Sensor,Sensor,,,,scikit-learn,Data Analysis
PRJ_321DD8,Low-Cost Wetland Mapping Platform for Heavy Metal Detection,"An end-to-end soil contamination assessment pipeline combining field sampling, spectroscopic analysis, and ML-based heavy metal concentration prediction. The project will leverage open-source tools wherever possible to maximize reproducibility.",Environmental Science,Experimental,1L-5L,9,"ML, Embedded Systems, Data Analysis","Pune, Maharashtra",Datalogger,Field Equipment,Random Forest Classification,Computational,Embedded Systems,scikit-learn,Data Analysis
PRJ_321DD8,Low-Cost Wetland Mapping Platform for Heavy Metal Detection,"An end-to-end soil contamination assessment pipeline combining field sampling, spectroscopic analysis, and ML-based heavy metal concentration prediction. The project will leverage open-source tools wherever possible to maximize reproducibility.",Environmental Science,Experimental,1L-5L,9,"ML, Embedded Systems, Data Analysis","Pune, Maharashtra",Raspberry Pi 4,Computing,Time-Series Data Collection,Experimental,Data Analysis,Pandas,Data Analysis
PRJ_321DD8,Low-Cost Wetland Mapping Platform for Heavy Metal Detection,"An end-to-end soil contamination assessment pipeline combining field sampling, spectroscopic analysis, and ML-based heavy metal concentration prediction. The project will leverage open-source tools wherever possible to maximize reproducibility.",Environmental Science,Experimental,1L-5L,9,"ML, Embedded Systems, Data Analysis","Pune, Maharashtra",Water Sampler,Field Equipment,,,,MQTT,Data Analysis
PRJ_321DD8,Low-Cost Wetland Mapping Platform for Heavy Metal Detection,"An end-to-end soil contamination assessment pipeline combining field sampling, spectroscopic analysis, and ML-based heavy metal concentration prediction. The project will leverage open-source tools wherever possible to maximize reproducibility.",Environmental Science,Experimental,1L-5L,9,"ML, Embedded Systems, Data Analysis","Pune, Maharashtra",Turbidity Sensor,Sensor,,,,Matplotlib,Visualization
PRJ_736AAD,Embedded Heavy Metal Detection Controller for Waste Management,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,5L-20L,18,"Biology, Electronics, Embedded Systems","Guwahati, Assam",Raspberry Pi 4,Computing,Time-Series Data Collection,Experimental,Embedded Systems,Pandas,Data Analysis
PRJ_736AAD,Embedded Heavy Metal Detection Controller for Waste Management,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,5L-20L,18,"Biology, Electronics, Embedded Systems","Guwahati, Assam",Turbidity Meter,Lab Instrument,Statistical Threshold Analysis,Statistical,ML,Node-RED,Visualization
PRJ_736AAD,Embedded Heavy Metal Detection Controller for Waste Management,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,5L-20L,18,"Biology, Electronics, Embedded Systems","Guwahati, Assam",Datalogger,Field Equipment,Water Quality Index Calculation,Analytical,Embedded Systems,Matplotlib,Visualization
PRJ_736AAD,Embedded Heavy Metal Detection Controller for Waste Management,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,5L-20L,18,"Biology, Electronics, Embedded Systems","Guwahati, Assam",Anemometer,Field Equipment,,,,Python,Programming
PRJ_736AAD,Embedded Heavy Metal Detection Controller for Waste Management,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,5L-20L,18,"Biology, Electronics, Embedded Systems","Guwahati, Assam",CO2 Sensor,Sensor,,,,TensorFlow,Data Analysis
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",GPS Device,Field Equipment,Statistical Threshold Analysis,Statistical,Data Analysis,QGIS,Visualization
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",Soil pH Meter,Field Equipment,Time-Series Data Collection,Experimental,ML,TensorFlow,Data Analysis
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",Conductivity Meter,Lab Instrument,Water Quality Index Calculation,Analytical,ML,Python,Programming
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",Particulate Matter Sensor (PM2.5),Sensor,,,,scikit-learn,Data Analysis
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",Water Sampler,Field Equipment,,,,,
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",Breadboard & Jumper Wires,Computing,,,,,
PRJ_ADE82E,IoT-Based Microplastics System for Heavy Metal Detection Analysis,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. The methodology includes a rigorous statistical validation framework.,Environmental Science,Experimental,1L-5L,3,"Data Analysis, Embedded Systems, Biology","Delhi, NCR",Turbidity Meter,Lab Instrument,,,,,
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Water Sampler,Field Equipment,IoT Sensor Integration,Experimental,ML,Python,Programming
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Dissolved Oxygen Sensor,Sensor,Time-Series Data Collection,Experimental,ML,MQTT,Data Analysis
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Anemometer,Field Equipment,Statistical Threshold Analysis,Statistical,ML,QGIS,Visualization
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Soil pH Meter,Field Equipment,Water Quality Index Calculation,Analytical,Embedded Systems,Google Earth Engine,Simulation
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Temperature Sensor,Sensor,,,,,
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Turbidity Sensor,Sensor,,,,,
PRJ_6BC139,Automated Water Quality Classification System,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. The system is designed for deployment in resource-constrained environments.,Environmental Science,Experimental,1L-5L,6,"ML, Electronics, Embedded Systems","Coimbatore, Tamil Nadu",Arduino Uno,Computing,,,,,
PRJ_BBC278,Multi-Modal Remote Sensing Assessment System,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Mixed,5L-20L,24,"Biology, Electronics, Embedded Systems","Delhi, NCR",Rainfall Gauge,Field Equipment,IoT Sensor Integration,Experimental,Data Analysis,Python,Programming
PRJ_BBC278,Multi-Modal Remote Sensing Assessment System,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Mixed,5L-20L,24,"Biology, Electronics, Embedded Systems","Delhi, NCR",Soil pH Meter,Field Equipment,Remote Sensing Analysis,Analytical,Data Analysis,Pandas,Data Analysis
PRJ_BBC278,Multi-Modal Remote Sensing Assessment System,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Mixed,5L-20L,24,"Biology, Electronics, Embedded Systems","Delhi, NCR",Turbidity Sensor,Sensor,,,,scikit-learn,Data Analysis
PRJ_BBC278,Multi-Modal Remote Sensing Assessment System,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Results will be validated against publicly available benchmark datasets.,Environmental Science,Mixed,5L-20L,24,"Biology, Electronics, Embedded Systems","Delhi, NCR",Arduino Uno,Computing,,,,,
PRJ_11033E,ML-Driven Wetland Mapping Detection Framework,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,<1L,6,"Electronics, Embedded Systems, Data Analysis","Delhi, NCR",Breadboard & Jumper Wires,Computing,Geospatial Mapping,Analytical,Embedded Systems,Google Earth Engine,Simulation
PRJ_11033E,ML-Driven Wetland Mapping Detection Framework,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,<1L,6,"Electronics, Embedded Systems, Data Analysis","Delhi, NCR",Dissolved Oxygen Sensor,Sensor,Statistical Threshold Analysis,Statistical,ML,Grafana,Visualization
PRJ_11033E,ML-Driven Wetland Mapping Detection Framework,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,<1L,6,"Electronics, Embedded Systems, Data Analysis","Delhi, NCR",Portable Water Quality Analyzer,Field Equipment,Principal Component Analysis,Analytical,ML,TensorFlow,Data Analysis
PRJ_11033E,ML-Driven Wetland Mapping Detection Framework,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,<1L,6,"Electronics, Embedded Systems, Data Analysis","Delhi, NCR",CO2 Sensor,Sensor,,,,,
PRJ_24F16B,ML-Driven Greenhouse Gas Detection Framework,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,5L-20L,18,"Biology, Embedded Systems, Electronics","Ahmedabad, Gujarat",Conductivity Meter,Lab Instrument,Remote Sensing Analysis,Analytical,Data Analysis,Google Earth Engine,Simulation
PRJ_24F16B,ML-Driven Greenhouse Gas Detection Framework,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,5L-20L,18,"Biology, Embedded Systems, Electronics","Ahmedabad, Gujarat",Datalogger,Field Equipment,Water Quality Index Calculation,Analytical,ML,Pandas,Data Analysis
PRJ_24F16B,ML-Driven Greenhouse Gas Detection Framework,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,5L-20L,18,"Biology, Embedded Systems, Electronics","Ahmedabad, Gujarat",Dissolved Oxygen Sensor,Sensor,,,,Python,Programming
PRJ_24F16B,ML-Driven Greenhouse Gas Detection Framework,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,5L-20L,18,"Biology, Embedded Systems, Electronics","Ahmedabad, Gujarat",Water Sampler,Field Equipment,,,,Grafana,Visualization
PRJ_24F16B,ML-Driven Greenhouse Gas Detection Framework,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,5L-20L,18,"Biology, Embedded Systems, Electronics","Ahmedabad, Gujarat",Breadboard & Jumper Wires,Computing,,,,SQLite,Data Analysis
PRJ_24F16B,ML-Driven Greenhouse Gas Detection Framework,Development of a drone-based remote sensing framework to map wetland biodiversity and detect vegetation stress using multispectral imagery and deep learning segmentation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Experimental,5L-20L,18,"Biology, Embedded Systems, Electronics","Ahmedabad, Gujarat",Raspberry Pi 4,Computing,,,,,
PRJ_FC0201,Low-Cost Air Pollution Platform for Soil Contamination,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,24,"Biology, ML, Electronics","Hyderabad, Telangana",GPS Device,Field Equipment,Regression Analysis,Statistical,Embedded Systems,MQTT,Data Analysis
PRJ_FC0201,Low-Cost Air Pollution Platform for Soil Contamination,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,24,"Biology, ML, Electronics","Hyderabad, Telangana",Drone (DJI Matrice),Field Equipment,Geospatial Mapping,Analytical,Embedded Systems,Grafana,Visualization
PRJ_FC0201,Low-Cost Air Pollution Platform for Soil Contamination,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,24,"Biology, ML, Electronics","Hyderabad, Telangana",CO2 Sensor,Sensor,,,,Google Earth Engine,Simulation
PRJ_FC0201,Low-Cost Air Pollution Platform for Soil Contamination,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,24,"Biology, ML, Electronics","Hyderabad, Telangana",Particulate Matter Sensor (PM2.5),Sensor,,,,TensorFlow,Data Analysis
PRJ_FC0201,Low-Cost Air Pollution Platform for Soil Contamination,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,24,"Biology, ML, Electronics","Hyderabad, Telangana",Breadboard & Jumper Wires,Computing,,,,,
PRJ_FC0201,Low-Cost Air Pollution Platform for Soil Contamination,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,24,"Biology, ML, Electronics","Hyderabad, Telangana",Turbidity Sensor,Sensor,,,,,
PRJ_0582A5,Smart Ecosystem Prediction Using Microplastics,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. Results will be validated against publicly available benchmark datasets.,Environmental Science,Experimental,1L-5L,3,"ML, Embedded Systems, Biology","Jaipur, Rajasthan",Conductivity Meter,Lab Instrument,Statistical Threshold Analysis,Statistical,Data Analysis,Node-RED,Visualization
