roadmap_id,project_id,phase_number,phase_name,steps
RDM_E07B51,PRJ_736AAD,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_2165BE,PRJ_736AAD,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_F6579D,PRJ_736AAD,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_6C693A,PRJ_736AAD,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_D41C97,PRJ_ADE82E,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_76B280,PRJ_ADE82E,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_0BD78A,PRJ_ADE82E,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_CDD86B,PRJ_ADE82E,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_A6E370,PRJ_ADE82E,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_342689,PRJ_ADE82E,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_E214E1,PRJ_ADE82E,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_9DFF56,PRJ_6BC139,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_26DB6C,PRJ_6BC139,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_D665CD,PRJ_6BC139,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_E98A39,PRJ_6BC139,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_CFE349,PRJ_6BC139,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_A7C8DC,PRJ_6BC139,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_3A63A0,PRJ_6BC139,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_B6B17F,PRJ_BBC278,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_6E412A,PRJ_BBC278,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_2B886C,PRJ_BBC278,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_8D6899,PRJ_BBC278,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_39CF3B,PRJ_BBC278,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_F3ED96,PRJ_BBC278,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_E371B7,PRJ_11033E,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_6DE894,PRJ_11033E,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_7969B7,PRJ_11033E,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_72A760,PRJ_11033E,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_8C52DB,PRJ_11033E,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_BD36E3,PRJ_11033E,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_A1F8A8,PRJ_11033E,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_FFF524,PRJ_24F16B,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_B4E85E,PRJ_24F16B,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_E6F498,PRJ_24F16B,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_ADB0A9,PRJ_24F16B,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_07596C,PRJ_24F16B,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_B82E0C,PRJ_24F16B,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_863EB2,PRJ_24F16B,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_536053,PRJ_FC0201,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_2E8B6D,PRJ_FC0201,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_4971FC,PRJ_FC0201,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_A7AE23,PRJ_FC0201,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_16606D,PRJ_FC0201,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_EB01E1,PRJ_FC0201,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_3D9AE1,PRJ_FC0201,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_0C809E,PRJ_0582A5,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_3721A2,PRJ_0582A5,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_10F761,PRJ_0582A5,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_4CD8BF,PRJ_0582A5,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_9EE5CC,PRJ_0582A5,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_69B7FC,PRJ_0582A5,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_DC979E,PRJ_0582A5,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_B13757,PRJ_2D7181,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_BB5338,PRJ_2D7181,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_7A8FDC,PRJ_2D7181,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_FFFED6,PRJ_2D7181,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_18C1AE,PRJ_2D7181,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_C5F123,PRJ_2D7181,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_23C369,PRJ_244E3B,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_766574,PRJ_244E3B,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_9EA2BF,PRJ_244E3B,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_FB4813,PRJ_244E3B,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_4FBC6A,PRJ_244E3B,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_58A1E3,PRJ_244E3B,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_EC83D9,PRJ_1A2C1D,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_8C8A02,PRJ_1A2C1D,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_C389D4,PRJ_1A2C1D,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_781E27,PRJ_1A2C1D,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_53ED30,PRJ_1A2C1D,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_75A3CC,PRJ_1A2C1D,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_F33889,PRJ_EF2A7F,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_05E73B,PRJ_EF2A7F,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_3EB6FA,PRJ_EF2A7F,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_1A21B1,PRJ_EF2A7F,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_A81896,PRJ_EF2A7F,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_4E534B,PRJ_EF2A7F,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_632C04,PRJ_683B6D,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_259E30,PRJ_683B6D,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_B61DA5,PRJ_683B6D,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_87BFA0,PRJ_683B6D,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_4A6055,PRJ_683B6D,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_09AC59,PRJ_683B6D,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_8ED7B4,PRJ_E52137,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_FC1987,PRJ_E52137,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_6CE1D1,PRJ_E52137,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_45CB17,PRJ_E52137,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_93980A,PRJ_E52137,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_021957,PRJ_E52137,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_7C75BD,PRJ_99D36F,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_AF1F23,PRJ_99D36F,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_5F0201,PRJ_99D36F,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_D5EFF0,PRJ_99D36F,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_DE6FBD,PRJ_99D36F,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_C2AA80,PRJ_99D36F,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
RDM_54AF12,PRJ_DCAC66,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_3EC3CF,PRJ_DCAC66,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_1DC5D4,PRJ_DCAC66,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_D622B7,PRJ_DCAC66,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_520BF0,PRJ_DCAC66,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_A3B05C,PRJ_DCAC66,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_CA5401,PRJ_DCAC66,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_137141,PRJ_40E804,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_EF97FF,PRJ_40E804,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_572190,PRJ_40E804,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_7CC29C,PRJ_40E804,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_A55D71,PRJ_40E804,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_EC2E6C,PRJ_40E804,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_A8565C,PRJ_40E804,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_8A852A,PRJ_D88EFE,1,Literature Review & Problem Formulation,1. Conduct systematic literature review on topic | 2. Identify research gaps and define problem statement | 3. Prepare literature review document (min 30 papers) | 4. Define hypothesis and success criteria
RDM_DCBD39,PRJ_D88EFE,2,Design & Procurement,1. Finalize system architecture and block diagram | 2. Prepare Bill of Materials (BoM) | 3. Procure equipment and consumables | 4. Set up experimental workspace and safety protocols
RDM_A5348A,PRJ_D88EFE,3,Prototype Development,1. Assemble hardware components | 2. Develop initial firmware/software | 3. Perform bench-level unit tests | 4. Document assembly and calibration procedure
RDM_86FCD0,PRJ_D88EFE,4,Data Collection,1. Design data collection protocol | 2. Run controlled experiments with replication | 3. Log raw data with timestamps | 4. Perform initial quality check on collected data
RDM_FEED3D,PRJ_D88EFE,5,Analysis & Modeling,1. Clean and preprocess collected data | 2. Apply statistical/ML models | 3. Visualize results and generate insights | 4. Conduct sensitivity analysis
RDM_763138,PRJ_D88EFE,6,Validation & Testing,"1. Compare results against baseline or benchmarks | 2. Conduct blind validation experiments | 3. Document accuracy, precision, recall metrics | 4. Identify failure modes and limitations"
RDM_A63E59,PRJ_D88EFE,7,Reporting & Dissemination,"1. Write final project report | 2. Prepare journal/conference manuscript | 3. Create poster or demo presentation | 4. Archive code, data, and documentation on GitHub/Zenodo"
RDM_5A7423,PRJ_3CD105,1,Literature Review,1. Perform systematic literature review | 2. Identify experimental and computational components | 3. Define hybrid methodology rationale
RDM_8BFC1C,PRJ_3CD105,2,Experimental Setup,1. Procure equipment and prepare lab setup | 2. Conduct preliminary experiments | 3. Collect baseline experimental data
RDM_8221EB,PRJ_3CD105,3,Computational Modeling,1. Develop simulation or ML model | 2. Calibrate model with experimental data | 3. Perform virtual parameter sweeps
RDM_1C6AFA,PRJ_3CD105,4,Integrated Analysis,1. Cross-validate experimental and computational results | 2. Identify discrepancies and perform root-cause analysis | 3. Optimize design based on integrated findings
RDM_493D4F,PRJ_3CD105,5,Validation,1. Conduct confirmatory experiments | 2. Benchmark against existing literature | 3. Document uncertainty and error bounds
RDM_6D4F80,PRJ_3CD105,6,Reporting,1. Prepare final report combining both methodologies | 2. Submit to conference or journal | 3. Archive all artifacts
