lab_id,lab_name,location,equipment_list,availability,contact_person,contact_email
LAB_3641E9,Precision Biomedical Research Lab,"Chandigarh, Punjab",High-Speed Camera;EEG Headset;Electrophoresis Apparatus;Blood Glucose Sensor;Microcontroller (ESP32);Centrifuge;PCR Machine;Autoclave;Core Cutter;Microscope (Fluorescent);ELISA Reader;Biosensor Array,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Das,contact@precisionbiomedicalresearchlab.edu.in
LAB_24AECB,Advanced Environmental Science Institute of Technology,"Bengaluru, Karnataka",pH Sensor;Dissolved Oxygen Sensor;CO2 Sensor;Arduino Uno;Electrophoresis Apparatus;Rainfall Gauge;Portable Water Quality Analyzer;Breadboard & Jumper Wires;Waterproof Enclosure;Conductivity Meter;Anemometer;Raspberry Pi 4;Temperature Sensor;Soil pH Meter,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Patel,contact@advancedenvironmentalscienceinstituteoftechnology.edu.in
LAB_F3D40D,Advanced CS-AI Research Lab,"Jaipur, Rajasthan",NAS Storage (100TB);Raspberry Pi 5;GPU Workstation (NVIDIA RTX 4090);Jetson Nano;Tactile Sensor;Biosensor Array,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Iyer,contact@advancedcs-airesearchlab.edu.in
LAB_91A046,Precision Biomedical Research Lab,"Coimbatore, Tamil Nadu",High-Speed Camera;Spectrophotometer;pH Sensor;ECG Sensor;GPU Workstation (NVIDIA A100);Biosensor Array;Microscope (Fluorescent);ELISA Reader;MRI Scanner (access),"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@precisionbiomedicalresearchlab.edu.in
LAB_4B33B5,Regional Biomedical Testing Facility,"Mumbai, Maharashtra",Spectrophotometer;Electrophoresis Apparatus;ECG Sensor;Digital Multimeter;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);Microscope (Fluorescent);ELISA Reader;Biosensor Array,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Prof. Nair,contact@regionalbiomedicaltestingfacility.edu.in
LAB_458652,Regional Materials Science Institute of Technology,"Mumbai, Maharashtra",Muffle Furnace;Raman Spectrometer;Transmission Electron Microscope (TEM);Sputtering System;Hardness Tester;X-Ray Diffractometer (XRD);UV-Vis Spectrophotometer;Electrochemical Workstation;Drone (DJI Matrice);Spin Coater,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Das,contact@regionalmaterialsscienceinstituteoftechnology.edu.in
LAB_7EF06B,Precision Materials Science Research Lab,"Delhi, NCR",Muffle Furnace;Raman Spectrometer;AFM (Atomic Force Microscope);Ball Mill;Universal Testing Machine (UTM);Sputtering System;Thermogravimetric Analyzer (TGA);Traffic Counter Sensor;UV-Vis Spectrophotometer;Spectrum Analyzer,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@precisionmaterialsscienceresearchlab.edu.in
LAB_50CC5F,Central Biomedical Center for Excellence,"Kolkata, West Bengal",Spectrophotometer;EEG Headset;Incubator;Electrophoresis Apparatus;GPU Workstation (NVIDIA A100);GPS Device;Penetrometer;Microscope (Fluorescent);Autoclave,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Reddy,contact@centralbiomedicalcenterforexcellence.edu.in
LAB_539909,Digital Civil Research Lab,"Bengaluru, Karnataka",Triaxial Test Apparatus;Accelerometer;Schmidt Hammer;Traffic Counter Sensor;Theodolite;Core Cutter;Drone (Survey Grade);Piezometer,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Das,contact@digitalcivilresearchlab.edu.in
LAB_9B2CA9,Advanced CS-AI Research Lab,"Lucknow, Uttar Pradesh",NAS Storage (100TB);LiDAR Sensor;TPU Cloud Instance;Network Switch (10GbE);Microphone Array;Tactile Sensor;High-Resolution Camera,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Ms. Patel,contact@advancedcs-airesearchlab.edu.in
LAB_FC0C25,Central Biomedical Innovation Center,"Delhi, NCR",Incubator;Spectrophotometer;High-Speed Camera;Flow Cytometer;Universal Testing Machine (UTM);Electrophoresis Apparatus;Blood Glucose Sensor;ECG Sensor;X-Ray Diffractometer (XRD);PCR Machine;Microscope (Fluorescent);ELISA Reader;Biosensor Array,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@centralbiomedicalinnovationcenter.edu.in
LAB_A8B82C,Apex CS-AI Research Lab,"Coimbatore, Tamil Nadu",NAS Storage (100TB);Raspberry Pi 5;Arduino Uno;Jetson Nano;LiDAR Sensor;High-Resolution Camera;Soil pH Meter,"{""Monday-Friday"": ""9:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Nair,contact@apexcs-airesearchlab.edu.in
LAB_6956DB,Advanced Electronics Testing Facility,"Kolkata, West Bengal",3D Printer (FDM);Function Generator;Sputtering System;Digital Multimeter;STM32 Nucleo Board;Oscilloscope (4-channel);Soldering Station;Spin Coater;Motor Driver Module,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Patel,contact@advancedelectronicstestingfacility.edu.in
LAB_3A3CBF,Advanced Environmental Science Center for Excellence,"Pune, Maharashtra",pH Sensor;CO2 Sensor;Arduino Uno;Rainfall Gauge;Portable Water Quality Analyzer;Waterproof Enclosure;Conductivity Meter;GPS Device;Raspberry Pi 4;Anemometer;Breadboard & Jumper Wires;Temperature Sensor;Drone (DJI Matrice);Soil pH Meter,"{""Monday-Friday"": ""10:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Singh,contact@advancedenvironmentalsciencecenterforexcellence.edu.in
LAB_B153F8,Digital CS-AI Innovation Center,"Pune, Maharashtra",NAS Storage (100TB);GPU Workstation (NVIDIA RTX 4090);Network Switch (10GbE);Centrifuge;Microphone Array;Jetson Nano;LiDAR Sensor;High-Resolution Camera,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Iyer,contact@digitalcs-aiinnovationcenter.edu.in
LAB_6E8AE9,Advanced Biomedical Institute of Technology,"Bhubaneswar, Odisha",Datalogger;Blood Glucose Sensor;GPU Workstation (NVIDIA A100);Centrifuge;PCR Machine;Biosensor Array;Microscope (Fluorescent);MRI Scanner (access),"{""Monday-Friday"": ""9:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Patel,contact@advancedbiomedicalinstituteoftechnology.edu.in
LAB_108FC8,Apex Biomedical Research Lab,"Mumbai, Maharashtra",Spectrophotometer;EEG Headset;Incubator;AFM (Atomic Force Microscope);Electrophoresis Apparatus;ECG Sensor;PCR Machine;Autoclave;Flow Cytometer;Biosensor Array;Soil pH Meter,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Reddy,contact@apexbiomedicalresearchlab.edu.in
LAB_8EE7EF,Regional Materials Science Testing Facility,"Bhubaneswar, Odisha",Muffle Furnace;AFM (Atomic Force Microscope);Universal Testing Machine (UTM);Transmission Electron Microscope (TEM);Ball Mill;Sputtering System;Hardness Tester;X-Ray Diffractometer (XRD);Spin Coater;Thermogravimetric Analyzer (TGA);UV-Vis Spectrophotometer;Theodolite;Electrochemical Workstation,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Iyer,contact@regionalmaterialssciencetestingfacility.edu.in
LAB_AD2048,Advanced Environmental Science Testing Facility,"Pune, Maharashtra",Spectrophotometer;Dissolved Oxygen Sensor;pH Sensor;Turbidity Meter;Raspberry Pi 5;Datalogger;Particulate Matter Sensor (PM2.5);Portable Water Quality Analyzer;Digital Multimeter;Waterproof Enclosure;GPS Device;Raspberry Pi 4;Water Sampler;Drone (DJI Matrice),"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Iyer,contact@advancedenvironmentalsciencetestingfacility.edu.in
LAB_E65CEA,Apex Environmental Science Institute of Technology,"Bhubaneswar, Odisha",Turbidity Meter;pH Sensor;Spectrophotometer;Datalogger;Particulate Matter Sensor (PM2.5);Waterproof Enclosure;Conductivity Meter;GPS Device;Turbidity Sensor;Raspberry Pi 4;Water Sampler;Microcontroller (ESP32);Breadboard & Jumper Wires;Drone (DJI Matrice),"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Reddy,contact@apexenvironmentalscienceinstituteoftechnology.edu.in
LAB_1C25F2,Central Environmental Science Institute of Technology,"Guwahati, Assam",pH Sensor;Turbidity Meter;CO2 Sensor;Triaxial Test Apparatus;Arduino Uno;Breadboard & Jumper Wires;Rainfall Gauge;ECG Sensor;Turbidity Sensor;GPS Device;Anemometer;Raspberry Pi 4;Drone (DJI Matrice),"{""Monday-Friday"": ""9:00-17:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Nair,contact@centralenvironmentalscienceinstituteoftechnology.edu.in
LAB_E97C9F,Precision Biomedical Institute of Technology,"Coimbatore, Tamil Nadu",Incubator;High-Speed Camera;ECG Sensor;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);Centrifuge;PCR Machine;Microphone Array;Flow Cytometer;MRI Scanner (access),"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@precisionbiomedicalinstituteoftechnology.edu.in
LAB_539804,Digital Environmental Science Institute of Technology,"Jaipur, Rajasthan",Dissolved Oxygen Sensor;CO2 Sensor;Datalogger;Turbidity Sensor;Water Sampler;Breadboard & Jumper Wires;High-Resolution Camera;Soil pH Meter,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Sharma,contact@digitalenvironmentalscienceinstituteoftechnology.edu.in
LAB_F0C589,Advanced Environmental Science Testing Facility,"Kolkata, West Bengal",Turbidity Meter;pH Sensor;Dissolved Oxygen Sensor;Spectrophotometer;Rainfall Gauge;Particulate Matter Sensor (PM2.5);Breadboard & Jumper Wires;Waterproof Enclosure;Conductivity Meter;Turbidity Sensor;Anemometer;Raspberry Pi 4,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Iyer,contact@advancedenvironmentalsciencetestingfacility.edu.in
LAB_84385E,Regional Biomedical Testing Facility,"Lucknow, Uttar Pradesh",High-Speed Camera;Incubator;Spectrophotometer;Arduino Uno;Blood Glucose Sensor;ECG Sensor;GPU Workstation (NVIDIA A100);Autoclave;Biosensor Array;Microscope (Fluorescent);ELISA Reader;MRI Scanner (access);Motor Driver Module,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Patel,contact@regionalbiomedicaltestingfacility.edu.in
LAB_5F6149,Central Civil Center for Excellence,"Lucknow, Uttar Pradesh",Strain Gauge;Compression Testing Machine (CTM);Accelerometer;Schmidt Hammer;Traffic Counter Sensor;Theodolite;Microscope (Fluorescent);Water Sampler;ELISA Reader,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Sharma,contact@centralcivilcenterforexcellence.edu.in
LAB_D1F129,Digital Electronics Research Lab,"Kolkata, West Bengal",3D Printer (FDM);Dissolved Oxygen Sensor;Function Generator;Digital Multimeter;PCB Prototyping Machine;Arduino Mega;Oscilloscope (4-channel);Soldering Station;Spectrum Analyzer;Power Supply (Variable);Motor Driver Module,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Sharma,contact@digitalelectronicsresearchlab.edu.in
LAB_EA11B6,Central Civil Institute of Technology,"Pune, Maharashtra",Triaxial Test Apparatus;CO2 Sensor;Proctor Compaction Test;Arduino Uno;Compression Testing Machine (CTM);Accelerometer;Schmidt Hammer;GPS RTK System;Theodolite;Core Cutter;Spectrum Analyzer;Drone (Survey Grade);Piezometer;Penetrometer;Total Station (Survey),"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Das,contact@centralcivilinstituteoftechnology.edu.in
LAB_210728,Digital Electronics Testing Facility,"Delhi, NCR",Function Generator;Digital Multimeter;PCB Prototyping Machine;Logic Analyzer;Oscilloscope (4-channel);Soldering Station;Schmidt Hammer;Spectrum Analyzer;FPGA Board (Xilinx Artix-7);CRO (Cathode Ray Oscilloscope);Motor Driver Module,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Patel,contact@digitalelectronicstestingfacility.edu.in
LAB_B9C387,Regional CS-AI Research Lab,"Bhubaneswar, Odisha",NAS Storage (100TB);LiDAR Sensor;TPU Cloud Instance;GPU Workstation (NVIDIA RTX 4090);Network Switch (10GbE);Core Cutter;Microphone Array;Jetson Nano;Tactile Sensor;High-Resolution Camera,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@regionalcs-airesearchlab.edu.in
LAB_C505E2,Digital Environmental Science Institute of Technology,"Chennai, Tamil Nadu",pH Sensor;Spectrophotometer;CO2 Sensor;Turbidity Meter;Arduino Uno;Piezometer;Rainfall Gauge;Breadboard & Jumper Wires;GPS Device;Raspberry Pi 4;Anemometer;Water Sampler;Temperature Sensor;ELISA Reader;Drone (DJI Matrice);Soil pH Meter,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Singh,contact@digitalenvironmentalscienceinstituteoftechnology.edu.in
LAB_F3EF80,Precision Materials Science Innovation Center,"Mumbai, Maharashtra",Muffle Furnace;Raman Spectrometer;Universal Testing Machine (UTM);Transmission Electron Microscope (TEM);Sputtering System;X-Ray Diffractometer (XRD);Logic Analyzer;Thermogravimetric Analyzer (TGA);Electrochemical Workstation;Scanning Electron Microscope (SEM);Spin Coater,"{""Monday-Friday"": ""10:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Patel,contact@precisionmaterialsscienceinnovationcenter.edu.in
LAB_9CF497,Precision CS-AI Innovation Center,"Chennai, Tamil Nadu",Raspberry Pi 5;Piezometer;Tactile Sensor;GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Network Switch (10GbE);Microphone Array;Jetson Nano;LiDAR Sensor;Drone (DJI Matrice),"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Sharma,contact@precisioncs-aiinnovationcenter.edu.in
LAB_EC9B27,Advanced Electronics Center for Excellence,"Guwahati, Assam",Function Generator;Digital Multimeter;PCB Prototyping Machine;Logic Analyzer;Arduino Mega;Oscilloscope (4-channel);Soldering Station;RF Signal Generator;FPGA Board (Xilinx Artix-7);Motor Driver Module;Penetrometer;STM32 Nucleo Board,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Reddy,contact@advancedelectronicscenterforexcellence.edu.in
LAB_D38B6B,Central Civil Innovation Center,"Jaipur, Rajasthan",Power Supply (Variable);Strain Gauge;Triaxial Test Apparatus;Arduino Mega;Accelerometer;Core Cutter;Piezometer;Penetrometer;STM32 Nucleo Board,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Patel,contact@centralcivilinnovationcenter.edu.in
LAB_0921C3,Advanced Environmental Science Innovation Center,"Kolkata, West Bengal",pH Sensor;Dissolved Oxygen Sensor;Spectrophotometer;Turbidity Meter;CO2 Sensor;Rainfall Gauge;Particulate Matter Sensor (PM2.5);Waterproof Enclosure;Conductivity Meter;Turbidity Sensor;Anemometer;Breadboard & Jumper Wires;Temperature Sensor;Soil pH Meter,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Patel,contact@advancedenvironmentalscienceinnovationcenter.edu.in
LAB_932954,Digital Biomedical Center for Excellence,"Delhi, NCR",Spectrophotometer;EEG Headset;Incubator;Flow Cytometer;pH Sensor;Electrophoresis Apparatus;Blood Glucose Sensor;ECG Sensor;Portable Water Quality Analyzer;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);Centrifuge;PCR Machine;MRI Scanner (access);Compression Testing Machine (CTM);Microscope (Fluorescent);ELISA Reader;Biosensor Array,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Patel,contact@digitalbiomedicalcenterforexcellence.edu.in
LAB_E99228,Apex Electronics Center for Excellence,"Pune, Maharashtra",Digital Multimeter;Arduino Mega;Oscilloscope (4-channel);GPU Workstation (NVIDIA A100);GPS Device;Motor Driver Module;CRO (Cathode Ray Oscilloscope);STM32 Nucleo Board,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Reddy,contact@apexelectronicscenterforexcellence.edu.in
LAB_F67A4B,Regional Civil Institute of Technology,"Chennai, Tamil Nadu",Strain Gauge;Compression Testing Machine (CTM);Accelerometer;Schmidt Hammer;GPS RTK System;Traffic Counter Sensor;Core Cutter;Drone (Survey Grade);Total Station (Survey),"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Sharma,contact@regionalcivilinstituteoftechnology.edu.in
LAB_6FB4B1,Precision Biomedical Institute of Technology,"Guwahati, Assam",Incubator;EEG Headset;High-Speed Camera;Spectrophotometer;Dissolved Oxygen Sensor;Electrophoresis Apparatus;Blood Glucose Sensor;ECG Sensor;Rainfall Gauge;Microcontroller (ESP32);PCR Machine;Centrifuge;Flow Cytometer;ELISA Reader;MRI Scanner (access),"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Reddy,contact@precisionbiomedicalinstituteoftechnology.edu.in
LAB_31C5A0,Collaborative Environmental Science Innovation Center,"Pune, Maharashtra",Turbidity Meter;CO2 Sensor;GPS Device;Accelerometer;Temperature Sensor;Drone (DJI Matrice),"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Prof. Das,contact@collaborativeenvironmentalscienceinnovationcenter.edu.in
LAB_AD7697,Digital Materials Science Research Lab,"Bhubaneswar, Odisha",Muffle Furnace;AFM (Atomic Force Microscope);Raman Spectrometer;Universal Testing Machine (UTM);Transmission Electron Microscope (TEM);Ball Mill;Sputtering System;Hardness Tester;X-Ray Diffractometer (XRD);Thermogravimetric Analyzer (TGA);UV-Vis Spectrophotometer;Electrochemical Workstation;High-Resolution Camera;Spin Coater,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Sharma,contact@digitalmaterialsscienceresearchlab.edu.in
LAB_B46044,Central Civil Center for Excellence,"Bengaluru, Karnataka",Strain Gauge;Accelerometer;Traffic Counter Sensor;GPS RTK System;Theodolite;Core Cutter;Piezometer;Penetrometer,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Patel,contact@centralcivilcenterforexcellence.edu.in
LAB_315E44,Central CS-AI Center for Excellence,"Kolkata, West Bengal",LiDAR Sensor;TPU Cloud Instance;GPU Workstation (NVIDIA RTX 4090);Arduino Mega;Soldering Station;Network Switch (10GbE);Microphone Array;Jetson Nano;Tactile Sensor;High-Resolution Camera,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Das,contact@centralcs-aicenterforexcellence.edu.in
LAB_836AFC,Central Civil Research Lab,"Pune, Maharashtra",Triaxial Test Apparatus;Proctor Compaction Test;Function Generator;Accelerometer;Traffic Counter Sensor;Schmidt Hammer;Network Switch (10GbE);Core Cutter;Jetson Nano;Penetrometer,"{""Monday-Friday"": ""9:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Reddy,contact@centralcivilresearchlab.edu.in
LAB_4A5D9E,Digital Environmental Science Testing Facility,"Coimbatore, Tamil Nadu",Turbidity Meter;Dissolved Oxygen Sensor;pH Sensor;Arduino Uno;Datalogger;Particulate Matter Sensor (PM2.5);Rainfall Gauge;Waterproof Enclosure;Turbidity Sensor;Accelerometer;Raspberry Pi 4;Anemometer;Water Sampler;Breadboard & Jumper Wires;Drone (DJI Matrice);Soil pH Meter,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Reddy,contact@digitalenvironmentalsciencetestingfacility.edu.in
LAB_F40D25,Collaborative Materials Science Testing Facility,"Chennai, Tamil Nadu",Muffle Furnace;AFM (Atomic Force Microscope);Raman Spectrometer;Ball Mill;Transmission Electron Microscope (TEM);Sputtering System;Hardness Tester;Spin Coater;UV-Vis Spectrophotometer;Penetrometer;Scanning Electron Microscope (SEM);Electrochemical Workstation;Total Station (Survey),"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Patel,contact@collaborativematerialssciencetestingfacility.edu.in
LAB_4A8616,Central Materials Science Institute of Technology,"Kochi, Kerala",Muffle Furnace;Raman Spectrometer;Ball Mill;Sputtering System;ECG Sensor;Jetson Nano;Spin Coater,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Iyer,contact@centralmaterialsscienceinstituteoftechnology.edu.in
